epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
1,4.333428175048828,4.139640126800537,95.9,93.94,83.55,77.31
2,4.118929657516479,4.026697243499756,93.398,92.24,76.568,73.66
3,3.902901748199463,3.9099932304382325,90.30199999999999,90.85,69.56,70.24
4,3.6679657861328123,3.6115664867401125,86.506,85.45,62.146,60.92
5,3.464416987838745,3.509889975357056,82.866,83.7,56.56,58.49
6,3.2966409374237062,3.324021236038208,79.77799999999999,80.37,51.948,52.47
7,3.1039324460601807,3.169200603866577,76.338,76.82,46.752,48.91
8,2.913982458572388,3.155759070968628,72.14,76.76,42.198,47.91
9,2.7408572956848145,3.0135885612487794,69.318,73.42,38.02,44.28
10,2.6061876754760744,3.206691621017456,66.482,74.96000000000001,35.290000000000006,47.74
11,2.473193196487427,2.9870402442932127,63.89,72.7,32.244,41.95
12,2.3598851411437987,3.4315995639801025,61.596,77.03999999999999,29.768,49.59
13,2.2760454876708986,2.808079587173462,59.806,67.25999999999999,27.781999999999996,38.92
14,2.1781054895782472,2.9135499912261964,57.388,71.5,25.941999999999993,39.7
15,2.1022411473083498,2.7526969005584716,55.936,67.39,24.516000000000005,37.36
16,2.0281415460205077,2.478971899986267,54.182,62.61,23.072000000000003,31.689999999999998
17,1.965262071609497,2.613174545288086,52.748,63.59,21.837999999999994,33.42
18,1.8992023379135132,2.438357859802246,51.214,60.92,20.451999999999998,29.97
19,1.8336956707000733,2.77189693069458,49.82,66.65,19.506,35.019999999999996
20,1.772222020339966,2.489895682525635,48.634,62.24,18.36,31.310000000000002
21,1.7274467907714843,2.7743800384521484,47.388,66.1,17.647999999999996,33.84
22,1.672086591644287,2.5325560710906982,46.066,62.62,16.714,31.049999999999997
23,1.6267860710906983,2.424726610946655,45.018,59.05,15.781999999999996,29.47
24,1.5873366281890868,2.288465422821045,43.988,57.53,15.343999999999994,27.090000000000003
25,1.5444580078125,2.1353335187911986,43.026,54.79,14.623999999999995,24.209999999999994
26,1.5099366630554198,2.4481205295562742,42.202,58.13,13.975999999999999,29.450000000000003
27,1.4662187575531005,2.3867252212524415,41.344,57.99,13.266000000000005,29.349999999999994
